station_id,latitude,longitude
715898,33.880183,-118.02178700000002
715900,33.882892,-118.026822
715901,33.8834,-118.027451
715903,33.886992,-118.034125
715906,33.900669,-118.059422
715907,33.903960999999995,-118.06404599999999
715908,33.911074,-118.07168600000001
715910,33.913564,-118.07586699999999
715913,33.920763,-118.08250100000001
715918,33.93311,-118.09100500000001
715920,33.938544,-118.09494099999999
715923,33.956897,-118.110532
715924,33.957583,-118.111199
715925,33.958225,-118.11238999999999
715926,33.958909999999996,-118.11303600000001
715927,33.9632,-118.1189
715928,33.963867,-118.11986999999999
715929,33.971707,-118.12309499999999
715930,33.971763,-118.122905
715932,33.976459999999996,-118.12595300000001
715933,33.981839,-118.130679
715935,33.986224,-118.13601399999999
715937,33.994935,-118.14469
715938,34.002541,-118.150997
715941,34.007591999999995,-118.15726599999999
715944,34.013676000000004,-118.166091
715947,34.015325,-118.17126999999999
715949,34.020076,-118.181702
715950,34.020088,-118.189029
715952,34.020961,-118.19545600000001
715953,34.021135,-118.195375
715957,34.029033,-118.217141
715958,34.041407,-118.218373
715959,34.047784,-118.214638
715961,34.057314,-118.214378
715963,34.069368,-118.217386
715964,34.080943,-118.22237
715966,34.083197999999996,-118.22821299999998
715967,34.086881,-118.23361100000001
715968,34.095413,-118.24395700000001
715969,34.094038,-118.242314
715970,34.108429,-118.258982
715971,34.111314,-118.264526
715972,34.120764,-117.88843
715973,34.118291,-118.27016599999999
715974,34.162760999999996,-118.294541
715975,34.163197,-118.29496999999999
715976,34.164088,-118.29556799999999
715977,34.165484,-118.29753000000001
715978,34.167992,-118.30129299999999
715979,34.168963,-118.302648
715980,34.17007,-118.30383700000002
715981,34.170572,-118.30448
715982,34.179879,-118.31240700000001
715983,34.184490999999994,-118.31673300000001
715984,34.186308000000004,-118.319601
715985,34.187037,-118.320656
715986,34.19381,-118.33029199999999
715987,34.193931,-118.33008600000001
715988,34.200877,-118.33918500000001
715989,34.200916,-118.339473
715990,34.211259000000005,-118.347597
715991,34.212728000000006,-118.34904099999999
715992,34.221104,-118.358957
715993,34.221821999999996,-118.364915
715994,34.222169,-118.3673
715995,34.225778000000005,-118.375075
715996,34.243318,-118.42108
715997,34.226376,-118.38592299999999
715998,34.227092999999996,-118.38900600000001
715999,34.226944,-118.38904199999999
716000,34.231047,-118.401401
716001,34.231273,-118.40133999999999
716002,34.23742,-118.414827
716003,34.244193,-118.42168999999998
716004,34.245149,-118.422992
716005,34.246140000000004,-118.42373500000001
716006,34.249183,-118.42725700000001
716007,34.341625,-118.526002
716008,34.358847,-118.554053
716009,34.364506,-118.555784
716010,34.368149,-118.55885
716011,34.378358,-118.565494
716012,34.408287,-118.576071
716013,34.408604,-118.576573
716014,34.420911,-118.582284
716015,34.424267,-118.58367
716016,34.431273,-118.588555
716017,34.43153,-118.588374
716018,34.454192,-118.61594099999999
716019,34.458426,-118.61554699999999
716020,34.495729,-118.62386299999999
716021,34.497131,-118.624674
716023,34.571045,-118.689102
716025,34.709779,-118.796647
716026,34.117595,-117.84414199999999
716028,34.055167,-118.21653500000001
716029,34.031890999999995,-118.41602900000001
716030,34.031647,-118.41533999999999
716032,34.030891,-118.411427
716033,34.029516,-118.40301399999998
716035,34.031182,-118.390169
716036,34.034310999999995,-118.38488400000001
716038,34.036959,-118.379466
716039,34.036846999999995,-118.37911399999999
716040,34.036314000000004,-118.37479599999999
716041,34.03577,-118.37136799999999
716043,34.034495,-118.366371
716044,34.033989,-118.35388200000001
716045,34.034193,-118.34865500000001
716046,34.03448,-118.34866699999999
716047,34.034363,-118.345701
716050,34.034677,-118.339444
716051,34.035067,-118.331254
716054,34.036614,-118.31917
716055,34.036809999999996,-118.31537900000001
716057,34.036953000000004,-118.313131
716058,34.037281,-118.311045
716059,34.037253,-118.30671299999999
716060,34.036945,-118.306723
716061,34.037222,-118.302221
716063,34.037129,-118.296691
716064,34.037096000000005,-118.294389
716065,34.036796,-118.289266
716066,34.037427,-118.282004
716067,34.054801,-118.211859
716069,34.053806,-118.20821399999998
716071,34.053753,-118.205692
716072,34.054109999999994,-118.203478
716074,34.055448,-118.19888
716075,34.055306,-118.19268899999999
716076,34.055572999999995,-118.192729
716078,34.055285,-118.185874
716081,34.059959,-118.174416
716084,34.061442,-118.16726799999999
716085,34.061918,-118.162504
716086,34.063934,-118.16016299999998
716087,34.065882,-118.155495
716088,34.066326000000004,-118.155441
716089,34.068501,-118.15141799999999
716090,34.069016,-118.14971299999999
716091,34.071793,-118.143409
716092,34.071251000000004,-118.141723
716093,34.071335,-118.13515500000001
716094,34.071644,-118.135158
716095,34.071342,-118.133569
716096,34.071661999999996,-118.133572
716097,34.071438,-118.123947
716098,34.071803,-118.123604
716099,34.071457,-118.122386
716100,34.071819,-118.12203999999998
716101,34.071889,-118.117349
716103,34.071665,-118.10937
716104,34.072021,-118.10883799999999
716105,34.07168,-118.10763500000002
716106,34.072053000000004,-118.107276
716107,34.071731,-118.100852
716108,34.072192,-118.100669
716109,34.071766,-118.098584
716110,34.072117999999996,-118.09858
716111,34.071834,-118.091958
716112,34.072221,-118.091434
716113,34.07186,-118.08986599999999
716114,34.072253,-118.08969099999999
716115,34.071945,-118.08254299999999
716116,34.072342,-118.082856
716117,34.072457,-118.074173
716118,34.072071,-118.074173
716119,34.072494,-118.07208
716120,34.072083,-118.071554
716121,34.072102,-118.06878999999999
716124,34.072661,-118.059491
716126,34.071934000000006,-118.05153600000001
716127,34.069271,-118.044184
716128,34.06847,-118.040429
716129,34.068078,-118.03066299999999
716130,34.067963,-118.02774299999999
716131,34.068199,-118.025926
716132,34.066990000000004,-118.019773
716133,34.063981,-118.008051
716134,34.064175,-118.00801299999999
716135,34.066554,-117.990356
716136,34.067663,-117.981905
716137,34.06769,-117.98013799999998
716138,34.067904999999996,-117.979831
716139,34.069010999999996,-117.97155500000001
716140,34.070282,-117.960307
716141,34.07049,-117.959994
716142,34.117595,-117.84414199999999
716143,34.120911,-117.82923400000001
716144,34.072082,-117.94475
716145,34.072075,-117.943345
716146,34.072549,-117.935381
716148,34.072468,-117.92737
716149,34.0723,-117.92735800000001
716150,34.072452,-117.925803
716151,34.072274,-117.92492299999999
716152,34.072202000000004,-117.91796399999998
716153,34.072356,-117.917965
716154,34.072264000000004,-117.909076
716155,34.072101,-117.90820500000001
716156,34.072249,-117.90715900000001
716157,34.072082,-117.906392
716158,34.072105,-117.891295
716159,34.072086999999996,-117.889726
716160,34.071847,-117.888507
716161,34.072029,-117.882752
716162,34.072002000000005,-117.880137
716163,34.071814,-117.87978999999999
716164,34.071952,-117.87456
716165,34.07172,-117.872992
716166,34.071034999999995,-117.86595700000001
716167,34.070451,-117.86513000000001
716168,34.069881,-117.86350800000001
716169,34.069047,-117.862283
716170,34.069037,-117.84145500000001
716171,34.068106,-117.83743
716172,34.067608,-117.835601
716174,34.064588,-117.82785600000001
716176,34.063827,-117.82096899999999
716178,34.0639,-117.81434899999999
716181,34.067443,-117.801629
716182,34.072518,-117.78985800000001
716183,34.072803,-117.78570500000001
716184,34.072978000000006,-117.784144
